teamRanking,gamesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointRate,threePointRate,freeThrowsRate,pointsFromTwoPointersPercentage,pointsFromThreePointersPercentage,pointsFromFreeThrowsPercentage,team.code,team.tvCodes,team.name,team.imageUrl
1,34.0,51.6%,55.2%,30.7%,66.3%,47.8%,1.1,16.4%,15.1%,59.5%,40.5%,24%,49.5%,35%,15.6%,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
2,34.0,51.2%,55.4%,29.6%,70.9%,50.2%,1.2,16.5%,13.8%,63.5%,36.5%,29.4%,53.1%,28.7%,18.2%,PAM,VBC,Valencia Basket,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
3,34.0,55.2%,58.9%,30.1%,68.6%,49.3%,1.2,16.3%,13.2%,58.8%,41.2%,24.9%,47.8%,36.8%,15.4%,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
4,34.0,53.6%,56.8%,31%,73.2%,51.9%,1.2,16.3%,13.2%,56.4%,43.6%,21.4%,48.5%,37.7%,13.8%,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
5,34.0,55.1%,58.4%,27.2%,71.6%,49.3%,1.3,17.1%,13%,54.5%,45.5%,25.6%,46.3%,38.5%,15.3%,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
6,34.0,52.6%,56.4%,30.1%,69.5%,49.7%,1.4,17.7%,12.9%,65.8%,34.2%,27.8%,55.6%,27.4%,17%,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
7,36.0,54.2%,57.5%,28.1%,69.5%,48.6%,1.5,18.6%,12.2%,58%,42%,27.1%,48.9%,35.3%,15.8%,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
8,34.0,53.3%,57%,33.5%,68.7%,50.6%,1.5,18.2%,11.9%,57.4%,42.6%,27.8%,49.2%,34.1%,16.7%,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
9,34.0,56.9%,61.2%,29.6%,67.4%,49%,1.2,15.8%,13%,62.9%,37.1%,30.1%,53.2%,29%,17.8%,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
10,41.0,55.8%,58.9%,30.2%,70%,50.6%,1.6,19.4%,12.4%,57.5%,42.5%,29.6%,47.8%,36%,16.2%,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
11,39.0,52.8%,56.7%,31.7%,68.5%,49.7%,1.6,16.4%,10.1%,64.7%,35.3%,31.1%,53.2%,28.7%,18.1%,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
12,39.0,54.4%,57.2%,33%,69.3%,51.2%,1.5,18.8%,12.4%,63.2%,36.8%,25.9%,54.1%,31.1%,14.8%,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
13,41.0,57.1%,60.4%,31.1%,69.2%,50.2%,1.5,18.1%,12.1%,53.2%,46.8%,25.6%,44%,40.9%,15.1%,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
14,39.0,55.7%,59%,29.9%,69.7%,49.9%,1.5,18.4%,12.1%,54.2%,45.8%,27.6%,45.6%,38.5%,15.9%,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
15,41.0,56.4%,60%,30.8%,68.6%,50.4%,1.3,17%,12.7%,60.4%,39.6%,34.7%,48%,33.5%,18.5%,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/696724ea-a92f-456e-8572-aca4ce0ff025.png
16,35.0,55.5%,59.1%,29.9%,68.2%,48.6%,1.7,17.6%,10.3%,58.9%,41.1%,24.5%,49.9%,34.9%,15.2%,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
17,40.0,54.2%,58%,35.9%,67.3%,51%,1.7,18.3%,10.9%,63.7%,36.3%,28.9%,52.4%,30.4%,17.2%,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
18,39.0,57.4%,61.5%,30%,69.3%,51.2%,1.7,19.7%,11.5%,56.8%,43.2%,29.5%,47.4%,35.3%,17.3%,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
